sec,r.init,r.init was invoked (a)
4.169,1.140,StateMachine,before if(conditionsToCheck
4.170,0.577,StateMachine,before this.everyTime
4.170,0.491,StateMachine,after this.everyTime
4.171,0.496,StateMachine,run completed
4.171,0.489,Mainline,Ending state machine pass
4.172,0.658,Mainline,Begining state machine pass
4.173,0.465,StateMachine,before if(conditionsToCheck
4.173,0.583,StateMachine,before this.everyTime
4.174,0.508,StateMachine,after this.everyTime
4.174,0.512,StateMachine,run completed
4.175,0.661,Mainline,Ending state machine pass
4.175,0.467,Mainline,Begining state machine pass
4.176,0.411,StateMachine,before if(conditionsToCheck
4.176,0.533,StateMachine,before this.everyTime
4.177,0.788,StateMachine,after this.everyTime
4.178,0.484,StateMachine,run completed
4.178,0.521,Mainline,Ending state machine pass
4.179,0.487,Mainline,Begining state machine pass
4.179,0.534,StateMachine,before if(conditionsToCheck
4.180,0.539,StateMachine,before this.everyTime
4.180,0.773,StateMachine,after this.everyTime
4.181,0.471,StateMachine,run completed
4.182,0.949,Mainline,Ending state machine pass
4.182,0.499,Mainline,Begining state machine pass
4.183,0.919,StateMachine,before if(conditionsToCheck
4.184,0.998,StateMachine,before this.everyTime
4.186,1.270,StateMachine,after this.everyTime
4.186,0.788,StateMachine,run completed
4.187,0.456,Mainline,Ending state machine pass
4.187,0.450,Mainline,Begining state machine pass
4.188,0.658,StateMachine,before if(conditionsToCheck
4.188,0.581,StateMachine,before this.everyTime
4.189,0.486,StateMachine,after this.everyTime
4.190,1.078,StateMachine,run completed
4.191,0.690,Mainline,Ending state machine pass
4.191,0.470,Mainline,Begining state machine pass
4.192,0.457,StateMachine,before if(conditionsToCheck
4.192,0.606,StateMachine,before this.everyTime
4.193,0.466,StateMachine,after this.everyTime
4.193,0.675,StateMachine,run completed
4.194,0.468,Mainline,Ending state machine pass
4.195,1.083,Mainline,Begining state machine pass
4.195,0.524,StateMachine,before if(conditionsToCheck
4.196,0.693,StateMachine,before this.everyTime
4.197,0.637,StateMachine,after this.everyTime
4.197,0.619,StateMachine,run completed
4.198,0.502,Mainline,Ending state machine pass
4.198,0.450,Mainline,Begining state machine pass
4.199,0.397,StateMachine,before if(conditionsToCheck
4.199,0.536,StateMachine,before this.everyTime
4.200,0.934,StateMachine,after this.everyTime
4.201,1.128,StateMachine,run completed
4.202,0.649,Mainline,Ending state machine pass
4.202,0.481,Mainline,Begining state machine pass
4.203,0.489,StateMachine,before if(conditionsToCheck
4.204,0.812,StateMachine,before this.everyTime
4.205,0.860,StateMachine,after this.everyTime
4.206,1.446,StateMachine,run completed
4.207,0.512,Mainline,Ending state machine pass
4.207,0.441,Mainline,Begining state machine pass
4.208,0.856,StateMachine,before if(conditionsToCheck
4.208,0.548,StateMachine,before this.everyTime
4.209,0.729,StateMachine,after this.everyTime
4.210,0.818,StateMachine,run completed
4.210,0.470,Mainline,Ending state machine pass
4.211,0.477,Mainline,Begining state machine pass
4.211,0.465,StateMachine,before if(conditionsToCheck
4.212,0.638,StateMachine,before this.everyTime
4.213,0.927,StateMachine,after this.everyTime
4.213,0.461,StateMachine,run completed
4.214,0.504,Mainline,Ending state machine pass
4.214,0.455,Mainline,Begining state machine pass
4.215,0.468,StateMachine,before if(conditionsToCheck
4.215,0.515,StateMachine,before this.everyTime
4.216,0.868,StateMachine,after this.everyTime
4.217,0.624,StateMachine,run completed
4.218,0.815,Mainline,Ending state machine pass
4.218,0.521,Mainline,Begining state machine pass
4.219,0.423,StateMachine,before if(conditionsToCheck
4.220,1.154,StateMachine,before this.everyTime
4.221,1.088,StateMachine,after this.everyTime
4.222,0.976,StateMachine,run completed
4.222,0.547,Mainline,Ending state machine pass
4.223,0.476,Mainline,Begining state machine pass
4.224,0.832,StateMachine,before if(conditionsToCheck
4.225,0.866,StateMachine,before this.everyTime
4.225,0.448,StateMachine,after this.everyTime
4.225,0.437,StateMachine,run completed
4.226,0.414,Mainline,Ending state machine pass
4.227,0.871,Mainline,Begining state machine pass
4.227,0.764,StateMachine,before if(conditionsToCheck
4.228,0.550,StateMachine,before this.everyTime
4.229,0.840,StateMachine,after this.everyTime
4.229,0.533,StateMachine,run completed
4.230,0.467,Mainline,Ending state machine pass
4.230,0.468,Mainline,Begining state machine pass
4.231,0.438,StateMachine,before if(conditionsToCheck
4.232,0.948,StateMachine,before this.everyTime
4.233,1.408,StateMachine,after this.everyTime
4.234,0.820,StateMachine,run completed
4.235,1.246,Mainline,Ending state machine pass
4.236,0.859,Mainline,Begining state machine pass
4.237,0.983,StateMachine,before if(conditionsToCheck
4.238,0.812,StateMachine,before this.everyTime
4.238,0.547,StateMachine,after this.everyTime
4.239,1.002,StateMachine,run completed
4.240,0.536,Mainline,Ending state machine pass
4.241,0.855,Mainline,Begining state machine pass
4.243,2.264,StateMachine,before if(conditionsToCheck
4.244,0.578,StateMachine,before this.everyTime
4.245,1.186,StateMachine,after this.everyTime
4.245,0.629,StateMachine,run completed
4.246,0.651,Mainline,Ending state machine pass
4.247,0.514,Mainline,Begining state machine pass
4.247,0.596,StateMachine,before if(conditionsToCheck
4.249,1.366,StateMachine,before this.everyTime
4.250,0.957,StateMachine,after this.everyTime
4.250,0.718,StateMachine,run completed
4.251,0.761,Mainline,Ending state machine pass
4.252,0.903,Mainline,Begining state machine pass
4.252,0.499,StateMachine,before if(conditionsToCheck
4.253,0.838,StateMachine,before this.everyTime
4.254,0.521,StateMachine,after this.everyTime
4.254,0.491,StateMachine,run completed
4.255,0.442,Mainline,Ending state machine pass
4.255,0.430,Mainline,Begining state machine pass
4.256,0.474,StateMachine,before if(conditionsToCheck
4.256,0.565,StateMachine,before this.everyTime
4.257,0.496,StateMachine,after this.everyTime
4.258,0.890,StateMachine,run completed
4.258,0.509,Mainline,Ending state machine pass
4.258,0.432,Mainline,Begining state machine pass
4.260,1.172,StateMachine,before if(conditionsToCheck
4.261,0.911,StateMachine,before this.everyTime
4.261,0.841,StateMachine,after this.everyTime
4.262,0.664,StateMachine,run completed
4.263,0.727,Mainline,Ending state machine pass
4.263,0.407,Mainline,Begining state machine pass
4.264,0.720,StateMachine,before if(conditionsToCheck
4.265,0.841,StateMachine,before this.everyTime
4.266,0.726,StateMachine,after this.everyTime
4.266,0.464,StateMachine,run completed
4.267,0.622,Mainline,Ending state machine pass
4.267,0.461,Mainline,Begining state machine pass
4.267,0.425,StateMachine,before if(conditionsToCheck
4.268,0.973,StateMachine,before this.everyTime
4.269,0.508,StateMachine,after this.everyTime
4.269,0.480,StateMachine,run completed
4.270,0.994,Mainline,Ending state machine pass
4.271,0.467,Mainline,Begining state machine pass
4.272,0.901,StateMachine,before if(conditionsToCheck
4.272,0.569,StateMachine,before this.everyTime
4.273,0.446,StateMachine,after this.everyTime
4.273,0.446,StateMachine,run completed
4.274,1.171,Mainline,Ending state machine pass
4.276,1.435,Mainline,Begining state machine pass
4.278,1.718,StateMachine,before if(conditionsToCheck
4.279,1.506,StateMachine,before this.everyTime
4.281,1.961,StateMachine,after this.everyTime
4.285,3.529,StateMachine,run completed
4.285,0.889,Mainline,Ending state machine pass
4.286,0.719,Mainline,Begining state machine pass
4.287,0.801,StateMachine,before if(conditionsToCheck
4.288,0.589,StateMachine,before this.everyTime
4.288,0.624,StateMachine,after this.everyTime
4.289,1.207,StateMachine,run completed
4.291,1.148,Mainline,Ending state machine pass
4.291,0.668,Mainline,Begining state machine pass
4.292,0.805,StateMachine,before if(conditionsToCheck
4.293,0.792,StateMachine,before this.everyTime
4.293,0.512,StateMachine,after this.everyTime
4.294,0.896,StateMachine,run completed
4.296,1.395,Mainline,Ending state machine pass
4.296,0.681,Mainline,Begining state machine pass
4.297,0.823,StateMachine,before if(conditionsToCheck
4.298,0.620,StateMachine,before this.everyTime
4.299,0.790,StateMachine,after this.everyTime
4.299,0.912,StateMachine,run completed
4.301,1.413,Mainline,Ending state machine pass
4.302,0.696,Mainline,Begining state machine pass
4.303,0.998,StateMachine,before if(conditionsToCheck
4.304,1.459,StateMachine,before this.everyTime
4.306,2.051,StateMachine,after this.everyTime
4.307,0.690,StateMachine,run completed
